High,Low,Close,Adj Close,Volume
2.722222,2.685185,2.685185,1.450476,47925
2.703704,2.666667,2.685185,1.450476,77625
2.703704,2.666667,2.703704,1.46048,35775
2.777778,2.703704,2.722222,1.470483,42525
2.777778,2.740741,2.740741,1.480487,37125
2.740741,2.703704,2.703704,1.46048,92475
2.685185,2.62963,2.666667,1.440474,81000
2.740741,2.666667,2.685185,1.450476,473850
2.703704,2.518519,2.555556,1.380454,121500
2.666667,2.592593,2.666667,1.440474,137700
2.703704,2.648148,2.703704,1.46048,22950
2.814815,2.740741,2.777778,1.500494,47925
2.925926,2.740741,2.888889,1.560512,41175
2.925926,2.87037,2.907407,1.570516,39150
2.87037,2.833333,2.833333,1.530502,45225
2.925926,2.851852,2.925926,1.58052,39825
2.925926,2.907407,2.925926,1.58052,29025
2.981481,2.944444,2.962963,1.600526,58050
2.981481,2.962963,2.981481,1.61053,33075
3,2.944444,2.944444,1.590523,26325
2.962963,2.907407,2.907407,1.570516,70875
2.944444,2.888889,2.907407,1.570516,54000
2.907407,2.907407,2.907407,1.570516,37125
2.925926,2.888889,2.888889,1.560512,114075
2.925926,2.888889,2.888889,1.560512,68175
2.925926,2.888889,2.925926,1.58052,58725
2.962963,2.907407,2.907407,1.570516,118125
2.925926,2.907407,2.907407,1.570516,3375
2.907407,2.907407,2.907407,1.570516,21600
2.981481,2.944444,2.962963,1.600526,108000
2.962963,2.962963,2.962963,1.600526,77625
2.981481,2.962963,2.981481,1.61053,33750
2.962963,2.962963,2.962963,1.600526,25650
3,2.944444,2.962963,1.600526,22950
3,3,3,1.620533,675
2.981481,2.962963,2.962963,1.600526,20925
2.981481,2.962963,2.981481,1.61053,39825
2.981481,2.944444,2.981481,1.61053,149850
2.962963,2.925926,2.962963,1.600526,42525
2.962963,2.944444,2.962963,1.600526,60075
3,2.962963,2.981481,1.61053,58050
2.962963,2.962963,2.962963,1.600526,58725
3.037037,2.981481,3.018519,1.630535,31050
3.037037,2.962963,2.962963,1.600526,35775
2.981481,2.962963,2.962963,1.600526,13500
2.981481,2.962963,2.962963,1.600526,117450
3.018519,2.981481,3.018519,1.630535,22950
3.037037,3,3,1.620533,18900
3.092593,3.018519,3.074074,1.660545,28350
3.166667,3.074074,3.111111,1.680553,49950
3.111111,3.074074,3.074074,1.660545,45900
3.055556,3,3.037037,1.640539,32400
3,2.962963,3,1.620533,38475
3.074074,3.037037,3.037037,1.640539,39825
3.055556,3,3.055556,1.650543,93150
3.055556,3.037037,3.055556,1.650543,33075
3.092593,3.018519,3.018519,1.630535,56025
3.074074,3,3.018519,1.630535,42525
3.055556,3,3,1.620533,43875
3.037037,2.962963,2.981481,1.61053,205875
3.055556,2.981481,2.981481,1.61053,86400
3.018519,2.981481,2.981481,1.61053,18225
3.018519,2.981481,2.981481,1.61053,23625
3.018519,2.962963,3,1.620533,142425
3,2.981481,2.981481,1.61053,19575
3,2.962963,2.962963,1.600526,19575
3,2.962963,2.981481,1.61053,337500
2.981481,2.962963,2.962963,1.600526,21600
2.981481,2.962963,2.981481,1.61053,63450
2.981481,2.962963,2.981481,1.61053,103950
3.037037,2.962963,3.037037,1.640539,206550
3.037037,2.962963,2.962963,1.600526,112050
2.962963,2.888889,2.944444,1.590523,171450
2.944444,2.907407,2.907407,1.570516,108675
2.907407,2.907407,2.907407,1.570516,24975
3,2.888889,2.962963,1.600526,68850
2.981481,2.962963,2.981481,1.61053,33075
2.962963,2.907407,2.907407,1.570516,60750
2.944444,2.907407,2.907407,1.570516,79650
2.944444,2.907407,2.907407,1.570516,38475
2.944444,2.907407,2.907407,1.570516,58050
2.944444,2.907407,2.944444,1.590523,32400
3.018519,2.944444,2.962963,1.600526,110700
3.092593,2.981481,3.037037,1.640539,45225
3.018519,2.962963,3,1.620533,103950
3.018519,2.981481,3,1.620533,31725
3.111111,3.037037,3.074074,1.660545,27000
3.111111,3.074074,3.092593,1.670549,197775
3.12963,3.074074,3.111111,1.680553,168075
3.148148,3.111111,3.148148,1.700558,32400
3.222222,3.12963,3.185185,1.720565,47250
3.185185,3.148148,3.148148,1.700558,54000
3.185185,3.12963,3.185185,1.720565,70200
3.277778,3.185185,3.259259,1.760579,98550
3.296296,3.222222,3.277778,1.770581,333450
3.277778,3.092593,3.222222,1.740572,78975
3.259259,3.185185,3.222222,1.740572,66825
3.259259,3.203704,3.222222,1.740572,45225
3.277778,3.222222,3.259259,1.760579,87750
3.259259,3.222222,3.259259,1.760579,68175
3.444444,3.259259,3.425926,1.850608,439425
3.592593,3.462963,3.5,1.890621,169425
3.5,3.462963,3.5,1.890621,62775
3.518519,3.444444,3.444444,1.860611,83025
3.481481,3.407407,3.407407,1.840604,130950
3.425926,3.388889,3.425926,1.850608,22950
3.5,3.407407,3.407407,1.840604,87075
3.37037,3.277778,3.277778,1.770581,21600
3.296296,3.259259,3.259259,1.760579,29025
3.37037,3.259259,3.37037,1.820599,24300
3.37037,3.259259,3.277778,1.770581,55350
3.296296,3.222222,3.296296,1.780585,58050
3.296296,3.222222,3.222222,1.740572,38475
3.277778,3.222222,3.222222,1.740572,29025
3.240741,3.203704,3.240741,1.750575,12825
3.222222,3.148148,3.166667,1.710562,102600
3.222222,3.148148,3.203704,1.730569,22950
3.240741,3.222222,3.240741,1.750575,11475
3.277778,3.222222,3.259259,1.760579,43875
